日付,活動区分,ｱｸﾃｨﾋﾞﾃｨ,タイトル,"記録
リンク",GPSログ,主な訪問地,都道府県,補足,"距離
[km]",獲得標高 [m],"走行・歩行
時間",車種,メーカー,モデル
2005-01-02,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,MTB,GARY FISHER,Ziggurat
2005-01-04,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,ロード,LOOK,KG461
2005-02-27,🚲,サイクリング,都内、多摩川,,,皇居、羽田の鳥居,東京,,120,,,ロード,LOOK,KG461
2005-03-12,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、奥多摩周遊道路,東京,奥多摩周遊,150,"1,245",,ロード,LOOK,KG461
2005-03-20,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、風張峠[1143m],東京,奥多摩周遊,130,"1,100",,ロード,LOOK,KG461
2005-03-21,🚲,サイクリング,都内,,,皇居、秋葉原,東京,,70,,,MTB,GARY FISHER,Ziggurat
2005-03-27,🚲,サイクリング,奥多摩駅、多摩川,,,奥多摩駅、阿蘇神社,東京,,100,,,ロード,LOOK,KG461
2005-04-09,🚲,サイクリング,野川、多摩川,,,野川、深大寺、多摩川,東京,🌸,80,,,ロード,LOOK,KG461
2005-04-10,🚲,サイクリング,多摩散策,,,殿ヶ谷戸庭園、国分寺跡、貫井神社、滄浪泉園、野川の桜,東京,🌸,20,,,MTB,GARY FISHER,Ziggurat
2005-04-11,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、風張峠[1143m],東京,奥多摩周遊,130,"1,245",,ロード,LOOK,KG461
2005-04-17,🚲,サイクリング,石和から柳沢峠経由で多摩,,,柳沢峠[1472m]、奥多摩湖,東京、山梨,,150,"1,800",,ロード,LOOK,KG461
2005-04-23,🚲,サイクリング,都内,,,靖国神社、ゼロ戦,東京,,70,,,MTB,GARY FISHER,Ziggurat
2005-04-24,🚲,サイクリング,多摩川,,,阿蘇神社,東京,🌷,50,,,ロード,LOOK,KG461
2005-04-30,🚲,サイクリング,松本,,,松本城,長野,,15,,,ロード,LOOK,KG461
2005-05-01,🚲,サイクリング,甲州街道-松本から石和,,,甲州街道,宮崎,,110,,,ロード,LOOK,KG461
2005-05-02,🚲,サイクリング,京都-新幹線輪行,,,北野天満宮、金閣寺、広隆寺,京都,,30,,,MTB,GARY FISHER,Ziggurat
2005-05-03,🚲,サイクリング,琵琶湖-京都から米原,,,琵琶湖、彦根城,京都、滋賀,,110,,,MTB,GARY FISHER,Ziggurat
2005-05-04,🚲,サイクリング,上田砥石城＆真田氏館,,,上田砥石城、真田氏館,長野,,30,,,ロード,LOOK,KG461
2005-05-05,🚲,サイクリング,真田散策,,,松代城、真田邸、象山神社、川中島古戦場,長野,,50,,,ロード,LOOK,KG461
2005-05-08,🚲,サイクリング,多摩川,,,丸子橋,東京,,60,,,ロード,LOOK,KG461
2005-05-15,🚲,サイクリング,多摩川,,,第二京浜,東京,,80,,,ロード,LOOK,KG461
2005-05-22,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、奥多摩周遊道路,東京,奥多摩周遊,150,"1,245",,ロード,LOOK,KG461
2005-05-29,🚲,サイクリング,小菅村,,,小菅村、奥多摩湖、多摩川,東京、山梨,,150,,,ロード,LOOK,KG461
2005-06-05,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,ロード,LOOK,KG461
2005-06-12,🚲,サイクリング,塩山から大弛峠,,,大弛峠[2360m],山梨,,82,,,ロード,LOOK,KG461
2005-07-03,🚲,サイクリング,国分寺散策,,,お鷹の道、国分寺跡、お鷹の道、貫井神社、滄浪泉園,山口,,,,,MTB,GARY FISHER,Ziggurat
2005-07-10,🚲,サイクリング,奥多摩湖、多摩川,,,都民の森[1000m]、奥多摩周遊道路、阿蘇神社、多摩川,東京,,140,,,ロード,LOOK,KG461
2005-07-17,🚲,サイクリング,白樺湖、美ヶ原,,,白樺湖、美ヶ原[1966m],長野,,106,"2,259",,ロード,LOOK,KG461
2005-07-23,🚲,サイクリング,江の島、阿蘇神社,,,境川、江の島、阿蘇神社,東京、神奈川,,184,,,ロード,LOOK,KG461
2005-07-24,🚲,サイクリング,浅川、相模湖,,,浅川、高尾山口、相模湖、大垂水峠[392m],東京,,99,689,,MTB,GARY FISHER,Ziggurat
2005-07-31,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、風張峠[1143m],東京,奥多摩周遊,137,"1,245",,ロード,LOOK,KG461
2005-08-14,🚲,サイクリング,杉並区郷土博物館、和田堀公園,,,杉並区郷土博物館、和田堀公園,東京,,35,,,ロード,LOOK,KG461
2005-08-17,🚲,サイクリング,清里から多摩,,,八ヶ岳高原ﾗｲﾝ[1486m]、ぶどう峠[1485m]、士賀坂峠[674m]、山伏峠[621m],東京、群馬、山梨、長野,,215,"2,918",,ロード,LOOK,KG461
2005-08-21,🚲,サイクリング,横田基地フレンドシップデー,,,横田基地 航空機展示,島根、山口,,30,,,MTB,GARY FISHER,Ziggurat
2005-08-28,🚲,サイクリング,日野／土方歳三資料館＆高幡不動,,,土方歳三資料館、高幡不動,東京,,45,,,ロード,LOOK,KG461
2005-09-04,🚲,サイクリング,山中湖方面,,,道志、山伏峠[1086m]、山中湖、忍野八海、河口湖,東京、神奈川、山梨,,150,"1,604",,ロード,LOOK,KG461
2005-09-18,🚲,サイクリング,丹波山村、今川峠,,,奥多摩湖、丹波山村、今川峠[947m]、多摩川,東京、山梨,,169,"1,310",,ロード,LOOK,KG461
2005-09-23,🚲,サイクリング,八ヶ岳（麦草峠）,,,茅野駅、麦草峠[2127m]、野辺山、甲府,山梨、長野,八ヶ岳,120,,,ロード,LOOK,KG461
2005-10-02,🚲,サイクリング,谷保,,,谷保散策、矢川,東京,,,,,ロード,LOOK,KG461
2005-10-09,🚲,サイクリング,戸隠,,,鏡池、大望峠展望台[1055m]、嶺方峠[1092m],長野,,72,"1,289",,ロード,LOOK,KG461
2005-10-23,🚲,サイクリング,関宿、江戸川,,,岩槻城跡、関宿城、江戸川,埼玉、千葉、東京,,181,,,ロード,LOOK,KG461
2005-11-03,🚲,サイクリング,入間川、荒川,,,入間川、荒川、浅草、秋葉原,福岡,,140,,,ロード,LOOK,KG461
2005-11-06,🚲,サイクリング,多摩川,,,羽田,東京,,80,,,ロード,LOOK,KG461
2005-11-13,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,ロード,LOOK,KG461
2005-11-20,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、奥多摩周遊道路,東京,奥多摩周遊,150,"1,245",,ロード,LOOK,KG461
2005-11-27,🚲,サイクリング,奥多摩周遊道路,,,都民の森、奥多摩周遊道路、阿蘇神社、多摩川,東京,奥多摩周遊,150,"1,245",,ロード,LOOK,KG461
2006-01-02,🚲,サイクリング,宇部探訪,,,宇部市内,山口,,60,,,クロス,TREK,7300
2006-01-04,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,ロード,LOOK,KG461
2006-01-09,🚲,サイクリング,多摩川、都内,,,多摩川、皇居,東京,,85,,,ロード,LOOK,KG461
2006-01-15,🚲,サイクリング,行田市-忍城,,,荒川、さきたま古墳公園、忍城,埼玉、東京,,144,,,ロード,LOOK,KG461
2006-01-28,🚲,サイクリング,鶴見川、横浜,,,鶴見川、横浜みなとみらい,東京、神奈川,,128,,,ロード,LOOK,KG461
2006-02-11,🚲,サイクリング,和田峠,,,多摩川、浅川、和田峠[686m]、阿蘇神社,東京,,130,"1,957",,ロード,LOOK,KG461
2006-03-05,🚲,サイクリング,和田峠,,,和田峠[686m],東京,,65,800,,ロード,LOOK,KG461
2006-03-11,🚲,サイクリング,和田峠,,,和田峠[686m],東京,,65,800,,ロード,LOOK,KG461
2006-03-12,🚲,サイクリング,奥多摩周遊道路,,,都民の森 [約1000m],東京,奥多摩周遊,107,,,ロード,LOOK,KG461
2006-03-18,🚲,サイクリング,和田峠、栃谷林道、大垂水峠,,,和田峠[686m]、明王峠[640m]、大垂水峠[392m],東京,,102,"2,400",,ロード,LOOK,KG461
2006-03-25,🚲,サイクリング,和田峠、栃谷林道、大垂水峠,,,和田峠[686m]、明王峠[640m]、藤野、大垂水峠[392m],東京、神奈川,,111,"2,522",,ロード,LOOK,KG461
2006-03-26,🚲,サイクリング,野川、桜通り散策,,,武蔵国分寺跡、野川、桜通り,東京,🌸,,,,MTB,GARY FISHER,Ziggurat
2006-04-01,🚲,サイクリング,和田峠、栃谷林道、大垂水峠,,,和田峠[686m]、明王峠[640m]、大垂水峠[392m],東京、神奈川,,114,"2,275",,ロード,LOOK,KG461
2006-04-02,🚲,サイクリング,野川,,,野川の桜,東京,🌸,,,,MTB,GARY FISHER,Ziggurat
2006-04-09,🚲,サイクリング,多摩川、阿蘇神社,,,多摩川、阿蘇神社、根がらみ前水田,東京,🌷,50,,,MTB,GARY FISHER,Ziggurat
2006-04-15,🚲,サイクリング,和田峠,,,和田峠[686m],東京,,65,800,,ロード,LOOK,KG461
2006-04-16,🚲,サイクリング,多摩川、阿蘇神社,,,多摩川、阿蘇神社、根がらみ前水田,東京,🌷,60,,,ロード,LOOK,KG461
2006-04-30,🚲,サイクリング,阿蘇山,,,阿蘇山[1276m]、武蔵塚,東京,,133,"1,777",,ロード,LOOK,KG461
2006-05-02,🚲,サイクリング,天草＆霊巌洞,,,天草、霊巌洞[272m],熊本,,150,,,ロード,LOOK,KG461
2006-05-03,🚲,サイクリング,秋月から下関,,,八丁越え[520m]、門司港、関門トンネル人道、下関,山口、福岡,,90,,,ロード,LOOK,KG461
2006-05-05,🚲,サイクリング,秋吉台,,,秋吉台カルストロード,山口,,90,,,ロード,LOOK,KG461
2006-06-11,🚲,レース,第3回 Mt.富士ヒルクライム,,,富士スバルライン,山梨,,24,"1,255",1:48,ロード,LOOK,KG461
2006-06-25,🚲,サイクリング,大ダワ峠、風張峠,,,大ダワ峠[994m]、風張峠[1143m],東京,,103,"2,111",,ロード,LOOK,KG461
2006-07-09,🚲,サイクリング,多摩川,,,多摩川,東京,,40,,,ロード,LOOK,KG585
2006-07-30,🚲,サイクリング,名栗,,,入間川、荒川,埼玉、東京,,100,,,ロード,LOOK,KG461
2006-08-06,🚲,サイクリング,奥多摩周遊道路,,,都民の森 [約1000m],東京,奥多摩周遊,100,,,ロード,LOOK,KG461
2006-08-13,🚲,サイクリング,和田峠、入山峠,,,和田峠[686m]、入山峠[592m],東京,,90,"1,070",,ロード,LOOK,KG461
2006-08-19,🚲,サイクリング,横田基地フレンドシップデー,,,横田基地 航空機展示,東京,航空祭,,,,MTB,GARY FISHER,Ziggurat
2006-08-20,🚲,サイクリング,北秋川,,,ちとせ屋,東京,,90,,,ロード,LOOK,KG585
2006-09-02,🚲,サイクリング,多摩川,,,多摩川,東京,,60,,,ロード,LOOK,KG585
2006-09-03,🚲,サイクリング,北秋川,,,ちとせ屋,東京,,90,,,ロード,LOOK,KG585
2006-09-16,🚲,サイクリング,和田峠,,,浅川、和田峠[686m],東京,,90,800,,ロード,LOOK,KG585
2006-09-17,🚲,サイクリング,入間川、川越散策,,,入間川、川越散策、荒川,埼玉、東京,,90,,,ロード,LOOK,KG585
2006-09-24,🚲,サイクリング,入間川、荒川,,,入間川、榎本牧場、荒川,埼玉、東京,,96,,,ロード,LOOK,KG585
2006-09-30,🚲,サイクリング,鶴峠,,,甲武トンネル[608m]、田和峠[610m]、鶴峠[876m],東京、山梨,,140,"1,959",,ロード,LOOK,KG585
2006-10-01,🚲,サイクリング,都内,,,代々木公園、皇居、秋葉原浅草,東京,,90,,,ロード,LOOK,KG585
2006-10-07,🚲,イベント,ツール・ド・ちば2006（1日目）,,,房総半島,千葉,,107,,,ロード,LOOK,KG461
2006-10-08,🚲,イベント,ツール・ド・ちば2006（2日目）,,,房総半島,千葉,,102,,,ロード,LOOK,KG461
2006-10-09,🚲,イベント,ツール・ド・ちば2006（3日目）,,,房総半島,千葉,,101,,,ロード,LOOK,KG461
2006-10-15,🚲,サイクリング,入間川、川越散策,,,入間川、川越-菓子屋横丁、荒川,埼玉、東京,,86,,,ロード,LOOK,KG585
2006-10-22,🚲,サイクリング,ジャパンカップ2006観戦,,,宇都宮,栃木,,30,,,ロード,LOOK,KG461
2006-10-29,🚲,レース,富士チャレンジ200,,,富士スピードウェイ,島根,,68,,,ロード,LOOK,KG461
2006-11-03,🚲,サイクリング,広河原逆川林道＆奥武蔵ｸﾞﾘ-ﾝﾗｲﾝ,,,有間峠[1142m]、刈場坂峠[818m],埼玉、東京,,158,"2,449",,ロード,LOOK,KG585
2006-11-04,🚲,サイクリング,幕張サイクルモード自走,,,幕張メッセ,千葉、東京,,140,,,ロード,LOOK,KG461
2006-11-05,🚲,サイクリング,秋川,,,秋川,東京,,50,,,ロード,LOOK,KG585
2006-11-12,🚲,レース,JCRCツール・ド・ジャパン西湖ステージ,,,西湖,山梨,,20,,,ロード,LOOK,KG585
2006-11-19,🚲,レース,龍勢ヒルクライム2006,,,埼玉県 秩父 吉田地区,埼玉,,12,,,ロード,LOOK,KG585
2006-11-26,🚲,サイクリング,小沢峠,,,小沢峠[342m],埼玉、東京,,75,,,ロード,LOOK,KG585
2006-12-10,🚲,サイクリング,尾根幹,,,いろは坂、尾根幹、尾根緑道(戦車道),東京,,65,,,ロード,LOOK,KG585
2006-12-23,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,65,,,ロード,LOOK,KG585
2006-12-24,🚲,サイクリング,有間ダム,,,小沢峠[342m],埼玉、東京,,88,,,ロード,LOOK,KG585
2006-12-31,🚲,サイクリング,秋穂,,,きららドーム、旧秋穂町、新山口駅,山口,,70,,,クロス,TREK,7300
2007-01-01,🚲,サイクリング,山口宇部空港,,,山口宇部空港,山口,,20,,,クロス,TREK,7300
2007-01-03,🚲,サイクリング,宇部港,,,宇部港,山口,,35,,,クロス,TREK,7300
2007-01-04,🚲,サイクリング,竜王山,,,竜王山[139m]、宇部市内,山口,,65,,,クロス,TREK,7300
2007-01-05,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,60,,,ロード,LOOK,KG585
2007-01-07,🚲,サイクリング,尾根幹,,,いろは坂、桜ヶ丘公園、尾根緑道、その他,東京,,70,,,ロード,LOOK,KG585
2007-01-08,🚲,サイクリング,調布,,,調布飛行場,東京,,40,,,ロード,LOOK,KG461
2007-01-14,🚲,サイクリング,越生,https://connect.garmin.com/app/activity/24047164461,,パン工房 シロクマ、醤遊王国,埼玉、東京,,87,460,8:00,ロード,LOOK,KG461
2007-01-21,🚲,サイクリング,荒川、入間川,,,荒川、ホンダエアポート、入間川,埼玉、東京,,95,,,ロード,LOOK,KG585
2007-02-04,🚲,サイクリング,尾根幹,,,いろは坂、桜ヶ丘公園、尾根緑道、百草園,東京,,65,,,ロード,LOOK,KG585
2007-02-11,🚲,サイクリング,和田峠,,,浅川、和田峠[686m],東京,,80,951,,ロード,LOOK,KG585
2007-02-18,🚲,サイクリング,多摩湖,,,多摩湖自転車道、多摩湖,東京,,25,,,ロード,LOOK,KG585
2007-02-25,🚲,サイクリング,荒川、入間川,,,荒川、入間川、川越公園 花いち,埼玉、東京,,95,,,ロード,LOOK,KG585
2007-03-03,🚲,サイクリング,都内,,,新宿副都心、秋葉原,東京,,75,,,クロス,DE ROSA,TEAM
2007-03-04,🚲,山サイ,裏周遊、浅間尾根,,,風張林道、浅間尾根,東京,,31,"1,272",,MTB,GARY FISHER,Ziggurat
2007-03-10,🚲,サイクリング,山伏峠、奥武蔵グリーンライン,https://connect.garmin.com/app/activity/24047009221,https://drive.google.com/file/d/1PeFASAnAY9QDEXTCbkQT4dlsDh9JJ_VA/view?usp=drivesdk,小沢峠[342m]、山伏峠[621m]、奥武蔵グリーンライン,埼玉、東京,,125,"1,962",8:00,ロード,LOOK,KG585
2007-03-11,🚲,サイクリング,国分寺,,,お鷹の道、西国分寺,東京,,,,,クロス,DE ROSA,TEAM
2007-03-18,🚲,サイクリング,尾根幹,,,尾根幹道路、多摩川、調布飛行場,東京,,78,,,ロード,LOOK,KG585
2007-03-21,🚲,サイクリング,和田峠,,,和田峠[686m]、ふろッぴィ,東京,,80,800,,ロード,LOOK,KG585
2007-03-25,🚲,レース,ひたちなかエンデューロ,,,安全運転中央研修所,茨城,,,,,ロード,LOOK,KG585
2007-03-30,🚲,サイクリング,多摩,,,井の頭公園、野川、深大寺、多摩川、阿蘇神社,東京,,95,,,クロス,DE ROSA,TEAM
2007-04-01,🚲,サイクリング,奥多摩周遊道路,,,奥多摩湖、奥多摩周遊道路、都民の森[1000m],東京,奥多摩周遊,140,"1,245",,ロード,LOOK,KG585
2007-04-07,🚲,サイクリング,多摩湖,,,多摩湖,東京,🌸,25,,,クロス,DE ROSA,TEAM
2007-04-07,🚲,サイクリング,多摩,,,野川、調布飛行場、深大寺、多摩川,東京,🌸,60,,,ロード,LOOK,KG585
2007-04-08,🚲,レース,JCRCツール・ド・ジャパン川越ステージ,,,川越水上公園,埼玉,,12,,,ロード,LOOK,KG585
2007-04-14,🚲,サイクリング,フラットバーロードで山岳,,,戸沢峠[238m]、和田峠[686m]、明王峠[640m]、大垂水峠[392m],東京、神奈川,,110,"1,830",,クロス,DE ROSA,TEAM
2007-04-21,🚲,サイクリング,柳沢峠ロングラン,,,柳沢峠[1472m]、鶴峠[876m]、田和峠[670m]、大垂水峠[392m],東京、神奈川、山梨,,200,"2,740",,ロード,LOOK,KG585
2007-04-22,🚲,サイクリング,奥多摩湖,,,奥多摩湖、羽村の根搦み前水田、多摩川,埼玉、東京,🌷,110,,,ロード,LOOK,KG585
2007-04-29,🚲,サイクリング,山伏峠、正丸峠、虚空蔵峠,,,山伏峠[621m]、正丸峠[640m]、虚空蔵峠[727m],埼玉、東京,,111,"1,440",,ロード,LOOK,KG585
2007-04-30,🚲,グラベル,六道山公園周辺,,,さいたま緑の森博物館、六道山公園、里山民家,埼玉、東京,,,,,MTB,GARY FISHER,Ziggurat
2007-05-01,🚲,イベント,dioss富士見キャンプ(1日目),,,自走で富士見(国道20号線),東京、神奈川、山梨,,140,,,ロード,LOOK,KG585
2007-05-02,🚲,イベント,dioss富士見キャンプ(2日目),,,すずらん峠[1839m]、白樺湖、CANADIAN FARM、入笠山[1850m],長野,,110,,,ロード,LOOK,KG585
2007-05-03,🚲,イベント,dioss富士見キャンプ(3日目),,,富士見パノラマリゾート ダウンヒルコース,長野,,,,,MTB,GARY FISHER,Ziggurat
2007-05-04,🚲,イベント,dioss富士見キャンプ(4日目),,,富士見パノラマリゾート 山頂周回コース 金沢林道,長野,,,,,MTB,GARY FISHER,Ziggurat
2007-05-12,🚲,サイクリング,道志,,,道志道、山中湖,東京、神奈川,,185,"1,934",,ロード,LOOK,KG585
2007-05-13,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,65,,,クロス,DE ROSA,TEAM
2007-05-19,🚲,イベント,糸魚川ファストラン,https://connect.garmin.com/app/activity/24047443469,https://drive.google.com/file/d/1V7BESP75wEKWFifd1AODuQV4FeoB7zrN/view?usp=drivesdk,糸魚川ファストラン,東京、神奈川、山梨、長野、新潟,,291,"2,360",16:00,ロード,LOOK,KG585
2007-05-27,🚲,サイクリング,柳沢峠、奥多摩周遊道路,,,柳沢峠[1472m]、奥多摩周遊道路、都民の森[1000m],東京、山梨,奥多摩周遊,184,"2,320",,ロード,LOOK,KG585
2007-06-03,🚲,レース,第4回 Mt.富士ヒルクライム,,,富士スバルライン,山梨,,24,"1,255",1:26,ロード,LOOK,KG585
2007-06-16,🚲,グラベル,大弛峠越え,https://connect.garmin.com/app/activity/24047657716,https://drive.google.com/file/d/1gNcEMPYtTM2VO5Z5T9_15eRAEQC81NBj/view?usp=drivesdk,塩山駅、大弛峠[2360m]、三国峠[1828m]、中津川林道、西武秩父駅,埼玉、山梨、長野,大弛峠,120,"2,510",10:00,ロード,LOOK,KG461
2007-06-17,🚲,サイクリング,多摩川,,,多摩川,東京,,40,,,ロード,LOOK,KG461
2007-06-20,🚲,サイクリング,都内,,,秋葉原,東京,,60,,,クロス,DE ROSA,TEAM
2007-06-23,🏔🚲,山サイ,陣馬山から小仏バス停へ,,,和田峠[686m]、陣馬山[857m]、景信山[727m],東京、神奈川,,82,"1,360",,MTB,GARY FISHER,Ziggurat
2007-07-01,🚲,サイクリング,昭和記念公園,,,多摩川、国営昭和記念公園,東京,,35,,,クロス,DE ROSA,TEAM
2007-07-08,🏔🚲,山サイ,陣馬山から小仏峠へ,,,和田峠[686m]、陣馬山[857m]、景信山[727m],東京、神奈川,,80,,,MTB,GARY FISHER,Ziggurat
2007-07-16,🚲,サイクリング,柳沢峠,,,柳沢峠[1472m]、原茂ワイン、笹子峠[1040m]、大垂水峠[392m],東京、山梨,,210,"2,500",,ロード,LOOK,KG585
2007-07-22,🚲,レース,シマノバイカーズフェスティバル,,,富士見パノラマ,長野,,,,,MTB,GARY FISHER,Ziggurat
2007-07-28,🚲,サイクリング,成木、名栗,https://connect.garmin.com/app/activity/24047853268,https://drive.google.com/file/d/1C3_Id1sqn5TkCAJKcSCr1I05NlKyLy1H/view?usp=drivesdk,東京ヒルクライムコース、小沢峠[342m]、山伏峠[621m]、正丸峠[640m]、天目指峠[480m],埼玉、東京,,125,"2,205",8:00,ロード,LOOK,KG585
2007-07-29,🚲,サイクリング,秋川、いっすいのこんにゃく,,,東京HCコース[670m]、山伏峠[621m]、天目指峠[480m],埼玉、東京,,125,,,ロード,LOOK,KG461
2007-08-12,🚲,サイクリング,成木、名栗,,,成木、名栗,埼玉、東京,,95,,,ロード,LOOK,KG585
2007-08-13,🚲,サイクリング,小菅村,,,松姫峠[1250m],東京、山梨,,176,"2,702",,ロード,LOOK,KG585
2007-08-16,🚲,イベント,原村合宿,,,諏訪大社上社、山佐屋、諏訪湖、高島城、諏訪湖、SUWAガラスの里,長野,,82,,,－,－,－
2007-08-17,🚲,イベント,原村合宿,,,原村,長野,,70,,,ロード,レンタル,レンタル
2007-08-18,🚲,サイクリング,大弛峠,https://connect.garmin.com/app/activity/24109607695,https://drive.google.com/file/d/1GL_89S6_7zKS179wrUkEoRcQn44ib7q2/view?usp=drivesdk,大弛峠[2360m]、夢の庭園,山梨,,60,"1,976",,ロード,LOOK,KG461
2007-08-19,🚲,レース,東京ヒルクライム NARIKIステージ,,,成木,埼玉、東京,,60,,,ロード,LOOK,KG585
2007-08-26,🚲,レース,マウンテンサイクリングin乗鞍,https://connect.garmin.com/app/activity/24109561243,https://drive.google.com/file/d/1Ndllr9M9hFPSbpU_3DXY4QRK1gBuQzZH/view?usp=drivesdk,乗鞍エコーライン,長野,乗鞍,21,"1,260",1:27,ロード,LOOK,KG585
2007-09-02,🚲,サイクリング,江の島,https://connect.garmin.com/app/activity/24048069466,https://drive.google.com/file/d/1pWnx9y2XKltwKsdzWLH_u_tbVFa_x9j5/view?usp=drivesdk,境川、飯田牧場、引地川、江の島,東京、神奈川,,145,454,10:00,ロード,LOOK,KG461
2007-09-09,🚲,サイクリング,大弛峠,,,大弛峠[2360m]、花かげの湯,山梨,,60,,,ロード,LOOK,KG461
2007-09-10,🚲,サイクリング,羽村のかかし、多摩川,,,羽村の根搦み前水田、多摩川,東京,,60,,,MTB,GARY FISHER,Ziggurat
2007-09-16,🚲,レース,SDA王滝,,,王滝村　コース変更,長野,,87,,,MTB,GARY FISHER,Ziggurat
2007-09-22,🚲,サイクリング,茅野から山岳コースで多摩まで,https://connect.garmin.com/app/activity/24048174912,https://drive.google.com/file/d/1pOQKWIF8UmSnZ0LZgwyiLrjlZzkTa5SN/view?usp=drivesdk,麦草峠[2127m]、十石峠[1356m]、志賀坂トンネル[780m],埼玉、東京、長野,,205,"3,247",10:00,ロード,LOOK,KG585
2007-10-06,🚲,サイクリング,富士周辺,,,籠坂峠[1104m]、本栖湖、富士川、南アルプス市,山梨,,82,"1,520",,ロード,LOOK,KG585
2007-10-07,🚲,サイクリング,高遠,https://connect.garmin.com/app/activity/24048311847,https://drive.google.com/file/d/10zsAA58U67jGQasLP01f5R84nZ9Syctq/view?usp=drivesdk,黒河内林道、高遠、千代田湖、金沢峠[1315m]、芝平峠[1450m],長野,,82,"1,612",6:00,MTB,SPECIALIZED,Epic Marathon
2007-10-13,🚲,グラベル,多摩湖、狭山湖周辺散策,,,多摩湖、慶性門、狭山湖,埼玉、東京,,42,,,MTB,SPECIALIZED,Epic Marathon
2007-10-14,🚲,サイクリング,関宿,https://connect.garmin.com/app/activity/24048407479,https://drive.google.com/file/d/1Ha6wUHopTODiXwebn3bzlaZx8nDItlgt/view?usp=drivesdk,関宿歴史資料館,埼玉、東京、千葉,,128,182,0:00,ロード,LOOK,KG585
2007-10-20,🚲,サイクリング,都内,https://connect.garmin.com/app/activity/24109424927,https://drive.google.com/file/d/1T7ckxsGiWKozrDg9qlWLaKfCrdzm7LzL/view?usp=drivesdk,赤坂豊川稲荷、月島西仲通り商店街、皇居、アメ横、宝田恵比寿神祭,東京,,90,100,8:02,ロード,LOOK,KG461
2007-10-21,🚲,サイクリング,深大寺,https://connect.garmin.com/app/activity/24109475237,https://drive.google.com/file/d/1GKL3LjzsOJQHz43N5C0tDQQw3OjVP_95/view?usp=drivesdk,多摩川、登戸/大黒屋、深大寺,東京,,50,,8:00,ロード,LOOK,KG585
2007-11-02,🚲,サイクリング,都内,,,和泉明店街,東京,,80,,,ロード,LOOK,KG461
2007-11-03,🚲,サイクリング,有間峠,https://connect.garmin.com/app/activity/24048543526,https://drive.google.com/file/d/16Gx2KMLol-jfDV1K_hDKKYoaYNUjccMl/view?usp=drivesdk,広河原逆川林道、有間峠[1142m],埼玉、東京,,118,"2,607",7:00,ロード,LOOK,KG585
2007-11-04,🏔🚲,山サイ,大菩薩峠,https://connect.garmin.com/app/activity/24048605205,https://drive.google.com/file/d/1ub5fD4NL4pAIcHKllte7cuAegHb7gdJ-/view?usp=drivesdk,白糸の滝、大菩薩峠[1897m]、石丸峠[1933m]、牛の寝、松姫峠[1250m],東京、山梨,,37,"2,359",8:00,MTB,SPECIALIZED,Epic Marathon
2007-11-25,🚲,サイクリング,和田峠、栃谷林道、大垂水峠,https://connect.garmin.com/app/activity/24048712154,https://drive.google.com/file/d/1Rs_TwF2Xy8IrzUJnL5z8gEcsiNbdphgR/view?usp=drivesdk,和田峠[686m]、明王峠[640m]、大垂水峠[392m],山口,,110,"2,028",7:00,ロード,LOOK,KG585
2007-12-24,🚲,サイクリング,秩父,https://connect.garmin.com/app/activity/24048774048,https://drive.google.com/file/d/1lIUVv_iAv8GA9GE2PyPQmrSP9qI36cp8/view?usp=drivesdk,山伏峠[621m]、秩父、長瀞、入間川、荒川,埼玉、東京,,180,"1,048",9:00,ロード,LOOK,KG585
2008-01-02,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,50,,,ロード,LOOK,KG461
2008-01-20,🚲,山サイ,二ツ塚,,,二ツ塚,東京,,25,,,MTB,SPECIALIZED,Epic Marathon
2008-01-21,🚲,サイクリング,六道周辺散策,,,六道山公園,東京,,20,,,ロード,LOOK,KG461
2008-01-22,🚲,山サイ,二ツ塚,,,二ツ塚,東京,,30,,,MTB,SPECIALIZED,Epic Marathon
2008-01-26,🚲,サイクリング,横須賀、浦賀,https://connect.garmin.com/app/activity/24108628265,https://drive.google.com/file/d/1VIK0A5yBeB4pGEMPre0dnLP5kjP0y_PC/view?usp=drivesdk,三笠公園、観音崎、浦賀、ペリー公園,神奈川,,70,376,8:00,ロード,LOOK,KG461
2008-01-27,🚲,サイクリング,名栗,https://connect.garmin.com/app/activity/24108696188,https://drive.google.com/file/d/1wiRl4ATdLZapqz0VmXWaPN3v98ua_5cl/view?usp=drivesdk,名栗,埼玉、東京,,87,804,7:00,ロード,LOOK,KG585
